pyears,n,event,rate,term,group,outcome,analysis,pyears_unexposed,ratio,ratio_text
120.33127994524298,1712,NA,0,pattern_laggedcontinuous,pattern_lagged,fract_composite,sens_shorter_windows,332.5968514715948,2.764009920138336,1:3
87.72073921971253,1059,NA,0,pattern_ittintermittent,pattern_itt,fract_composite,sens_shorter_windows,87.72073921971253,0.24019431450161927,1:0
365.2073921971253,4432,NA,2.7381702051097516,pattern_ittcontinuous,pattern_itt,fract_composite,sens_shorter_windows,87.72073921971253,0.24019431450161927,1:0
NA,56,NA,0,cumdose450 to 899 mg,cumdose,fract_composite,sens_shorter_windows,NA,0.5816839986581683,1:1
NA,102,NA,0,cumdose900 to 1500 mg,cumdose,fract_composite,sens_shorter_windows,NA,0.5816839986581683,1:1
440.01916495550995,5333,NA,2.2726282845000836,cumdose>1500 mg,cumdose,fract_composite,sens_shorter_windows,NA,0.5816839986581683,1:1
410.1930184804928,4965,NA,2.4378766944995096,severity0,severity,fract_composite,sens_shorter_windows,410.1930184804928,19.18102675713737,1:19
21.385352498288842,250,NA,0,severity1,severity,fract_composite,sens_shorter_windows,410.1930184804928,19.18102675713737,1:19
17.4072553045859,225,NA,0,severity2,severity,fract_composite,sens_shorter_windows,410.1930184804928,19.18102675713737,1:19
NA,51,NA,0,severity3,severity,fract_composite,sens_shorter_windows,410.1930184804928,19.18102675713737,1:19
450.95687885010267,5465,NA,2.2175069211714993,asthma0,asthma,fract_composite,sens_shorter_windows,450.95687885010267,228.76666666666668,1:229
NA,26,NA,0,asthma1,asthma,fract_composite,sens_shorter_windows,450.95687885010267,228.76666666666668,1:229
452.43531827515403,5485,NA,2.2102606927601482,alc0,alc,fract_composite,sens_shorter_windows,452.43531827515403,918.0666666666668,1:918
NA,NA,NA,0,alc1,alc,fract_composite,sens_shorter_windows,452.43531827515403,918.0666666666668,1:918
800.6872005475701,5598,NA,1.24892717070552,patternintermittent,pattern,fract_composite,sens_no_asthma,800.6872005475701,8.789703053618657,1:9
91.09377138945928,936,NA,0,patterncontinuous,pattern,fract_composite,sens_no_asthma,800.6872005475701,8.789703053618657,1:9
12.706365503080082,95,NA,0,cumdaysfew,cumdays,fract_composite,sens_no_asthma,12.706365503080082,0.014454251561906304,1:0
879.0746064339494,6439,NA,1.1375598756703895,cumdaysmany,cumdays,fract_composite,sens_no_asthma,12.706365503080082,0.014454251561906304,1:0
